,Brand,Model,Type,Dimension (in),Screen Resolution,CPU Brand,CPU Model,CPU Frequency (GHz),GPU Brand,GPU Model,RAM (GB),HDD,SSD,OS,Weight (kg),Price (Euro)
106,Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon 520,8,False,,Windows,,728.0
107,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,16,False,True,Windows,2.5,1079.0
108,Dell,Inspiron 5577,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,,True,Windows,2.56,1060.49
109,Acer,Aspire A517-51G,Notebook,17.3,1920x1080,Intel,Core i5 8250U,1.6,Nvidia,GeForce MX150,8,False,True,Windows,3.0,854.0
110,HP,ProBook 430,Notebook,13.3,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,4,True,False,Windows,,754.0
111,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,1920x1080,Intel,Core i5 7200U,2.5,AMD,Radeon 520,6,True,False,Windows,2.71,699.0
112,HP,ProBook 470,Notebook,17.3,1920x1080,Intel,Core i5 8250U,1.6,Nvidia,GeForce 930MX,8,False,True,Windows,2.5,923.0
113,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,8,True,False,Windows,2.3,459.0
114,Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,False,,Windows,2.1,449.0
115,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,AMD,R17M-M1-70,8,,True,Windows,1.9,813.0
116,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,16,True,True,Linux,2.02,1049.0
117,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,False,True,Windows,1.23,1399.0
118,Dell,Inspiron 7773,Notebook,17.3,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce 150MX,16,False,True,Windows,2.77,1549.0
119,Dell,XPS 15,Notebook,15.6,3840x2160,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,16,False,True,Windows,2.06,2397.0
120,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,8,False,True,No OS,2.4,779.0
